index,Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
0,2018/2019,AL,Adapted Basketball,0.0,0.0,0.0,0.0
1,2018/2019,AL,Adapted Bocce - Indoor,0.0,0.0,0.0,0.0
2,2018/2019,AL,Adapted Bowling,0.0,0.0,0.0,0.0
3,2018/2019,AL,Adapted Floor Hockey,0.0,0.0,0.0,0.0
4,2018/2019,AL,Adapted Soccer,0.0,0.0,0.0,0.0
5,2018/2019,AL,Adapted Softball,0.0,0.0,0.0,0.0
6,2018/2019,AL,Adapted Track,0.0,0.0,0.0,0.0
7,2018/2019,AL,Adapted Volleyball,0.0,0.0,0.0,0.0
8,2018/2019,AL,Adaptive Corn Toss,0.0,0.0,0.0,0.0
9,2018/2019,AL,Adaptive Golf,0.0,0.0,0.0,0.0
10,2018/2019,AL,Adaptive Handball,0.0,0.0,0.0,0.0
11,2018/2019,AL,Adaptive Strength Training,0.0,0.0,0.0,0.0
12,2018/2019,AL,Adaptive Tennis,0.0,0.0,0.0,0.0
13,2018/2019,AL,Air Riflery,0.0,0.0,0.0,0.0
14,2018/2019,AL,Archery,0.0,0.0,0.0,0.0
15,2018/2019,AL,Badminton,0.0,0.0,0.0,0.0
16,2018/2019,AL,Baseball,396.0,0.0,14100.0,0.0
17,2018/2019,AL,Basketball,413.0,413.0,13648.0,8559.0
18,2018/2019,AL,Bass Fishing,0.0,0.0,0.0,0.0
19,2018/2019,AL,Beach Volleyball,0.0,0.0,0.0,0.0
20,2018/2019,AL,Bocce - Outdoor,0.0,0.0,0.0,0.0
21,2018/2019,AL,Bowling,108.0,97.0,731.0,610.0
22,2018/2019,AL,Canoe Paddling,0.0,0.0,0.0,0.0
23,2018/2019,AL,Competitive Spirit* (Boys who cheer/Girls who cheer),0.0,0.0,0.0,0.0
24,2018/2019,AL,Crew,0.0,0.0,0.0,0.0
25,2018/2019,AL,Cross Country,258.0,258.0,3804.0,2669.0
26,2018/2019,AL,Cycling,0.0,0.0,0.0,0.0
27,2018/2019,AL,Dance,0.0,0.0,0.0,0.0
28,2018/2019,AL,Dance/Drill,0.0,0.0,0.0,0.0
